"year","adm1","adm1_code","adm2","adm2_code","type","class1","class2","unit","value"
2020,"Chungcheongbuk-do",33,"Cheongwon-gu Cheongju-si",33044,"population","all households","male","persons",97210
2020,"Chungcheongbuk-do",33,"Cheongwon-gu Cheongju-si",33044,"population","all households","female","persons",93428
2020,"Chungcheongbuk-do",33,"Cheongwon-gu Cheongju-si",33044,"mortality","All causes","total","per 100k population",322.2
2020,"Chungcheongbuk-do",33,"Cheongwon-gu Cheongju-si",33044,"mortality","All causes","male","per 100k population",433
2020,"Chungcheongbuk-do",33,"Cheongwon-gu Cheongju-si",33044,"mortality","All causes","female","per 100k population",234
2020,"Chungcheongbuk-do",33,"Cheongwon-gu Cheongju-si",33044,"economy","company","total","count",22707
2015,"Chungcheongbuk-do",33,"Cheongwon-gu Cheongju-si",33044,"economy","company","total","count",12929
2015,"Chungcheongbuk-do",33,"Cheongwon-gu Cheongju-si",33044,"housing","housing types","total","count",54137
2020,"Chungcheongbuk-do",33,"Cheongwon-gu Cheongju-si",33044,"housing","housing types","total","count",68648
2010,"Chungcheongbuk-do",33,"Cheongwon-gun Cheongju-si",33310,"population","all households","total","persons",137926
2010,"Chungcheongbuk-do",33,"Cheongwon-gun Cheongju-si",33310,"population","all households","male","persons",69535
2010,"Chungcheongbuk-do",33,"Cheongwon-gun Cheongju-si",33310,"population","all households","female","persons",68391
2010,"Chungcheongbuk-do",33,"Cheongwon-gun Cheongju-si",33310,"economy","company","total","count",8829
2010,"Chungcheongbuk-do",33,"Cheongwon-gun Cheongju-si",33310,"housing","housing types","total","count",47029
2020,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"tax","income","general","million KRW",6932
2020,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"tax","income","labor","million KRW",11522
2010,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"population","all households","total","persons",29666
2010,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"population","all households","male","persons",14065
2010,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"population","all households","female","persons",15601
2015,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"population","all households","total","persons",30144
2015,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"population","all households","male","persons",14876
2015,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"population","all households","female","persons",15268
2020,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"population","all households","total","persons",29259
2020,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"population","all households","male","persons",14767
2020,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"population","all households","female","persons",14492
2020,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"mortality","All causes","total","per 100k population",368.5
2020,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"mortality","All causes","male","per 100k population",481.4
2020,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"mortality","All causes","female","per 100k population",261.2
2020,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"economy","company","total","count",4444
2010,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"economy","company","total","count",2075
2015,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"economy","company","total","count",2934
2010,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"housing","housing types","total","count",12044
2015,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"housing","housing types","total","count",11994
2020,"Chungcheongnam-do",34,"Cheongyang-gun",34350,"housing","housing types","total","count",14062
2010,"Gangwon-do",32,"Cheorwon-gun",32360,"population","all households","total","persons",40833
2010,"Gangwon-do",32,"Cheorwon-gun",32360,"population","all households","male","persons",20094
2010,"Gangwon-do",32,"Cheorwon-gun",32360,"population","all households","female","persons",20739
2015,"Gangwon-do",32,"Cheorwon-gun",32360,"population","all households","total","persons",43841
2015,"Gangwon-do",32,"Cheorwon-gun",32360,"population","all households","male","persons",22863
2015,"Gangwon-do",32,"Cheorwon-gun",32360,"population","all households","female","persons",20978
2020,"Gangwon-do",32,"Cheorwon-gun",32360,"population","all households","total","persons",40932
2020,"Gangwon-do",32,"Cheorwon-gun",32360,"population","all households","male","persons",20735
2020,"Gangwon-do",32,"Cheorwon-gun",32360,"population","all households","female","persons",20197
2020,"Gangwon-do",32,"Cheorwon-gun",32360,"tax","income","general","million KRW",11539
2020,"Gangwon-do",32,"Cheorwon-gun",32360,"tax","income","labor","million KRW",10310
2020,"Gangwon-do",32,"Cheorwon-gun",32360,"mortality","All causes","total","per 100k population",370.5
2020,"Gangwon-do",32,"Cheorwon-gun",32360,"mortality","All causes","male","per 100k population",526
2020,"Gangwon-do",32,"Cheorwon-gun",32360,"mortality","All causes","female","per 100k population",227.4
2020,"Gangwon-do",32,"Cheorwon-gun",32360,"economy","company","total","count",4934
2015,"Gangwon-do",32,"Cheorwon-gun",32360,"economy","company","total","count",3631
2010,"Gangwon-do",32,"Cheorwon-gun",32360,"economy","company","total","count",3295
2010,"Gangwon-do",32,"Cheorwon-gun",32360,"housing","housing types","total","count",14650
2015,"Gangwon-do",32,"Cheorwon-gun",32360,"housing","housing types","total","count",15180
2020,"Gangwon-do",32,"Cheorwon-gun",32360,"housing","housing types","total","count",16673
2020,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"tax","income","general","million KRW",46601
2020,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"tax","income","labor","million KRW",66600
2010,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"population","all households","total","persons",107038
2010,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"population","all households","male","persons",54300
2010,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"population","all households","female","persons",52738
2015,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"population","all households","total","persons",113935
2015,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"population","all households","male","persons",58011
2015,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"population","all households","female","persons",55924
2020,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"population","all households","total","persons",108968
2020,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"population","all households","male","persons",55954
2020,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"population","all households","female","persons",53014
2020,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"mortality","All causes","total","per 100k population",304.3
2020,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"mortality","All causes","male","per 100k population",427.4
2020,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"mortality","All causes","female","per 100k population",191.2
2010,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"economy","company","total","count",8214
2020,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"economy","company","total","count",16997
2015,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"economy","company","total","count",10976
2010,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"housing","housing types","total","count",33741
2015,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"housing","housing types","total","count",35747
2020,"Gyeongsangbuk-do",37,"Chilgok-gun",37390,"housing","housing types","total","count",44000
2020,"Gangwon-do",32,"Chuncheon-si",32010,"tax","income","general","million KRW",143128
2020,"Gangwon-do",32,"Chuncheon-si",32010,"tax","income","labor","million KRW",199802
2010,"Gangwon-do",32,"Chuncheon-si",32010,"population","all households","total","persons",264093
2010,"Gangwon-do",32,"Chuncheon-si",32010,"population","all households","male","persons",128975
2010,"Gangwon-do",32,"Chuncheon-si",32010,"population","all households","female","persons",135118
2015,"Gangwon-do",32,"Chuncheon-si",32010,"population","all households","total","persons",266534
2015,"Gangwon-do",32,"Chuncheon-si",32010,"population","all households","male","persons",129732
2015,"Gangwon-do",32,"Chuncheon-si",32010,"population","all households","female","persons",136802
2020,"Gangwon-do",32,"Chuncheon-si",32010,"population","all households","total","persons",273353
2020,"Gangwon-do",32,"Chuncheon-si",32010,"population","all households","male","persons",133673
2020,"Gangwon-do",32,"Chuncheon-si",32010,"population","all households","female","persons",139680
2020,"Gangwon-do",32,"Chuncheon-si",32010,"mortality","All causes","total","per 100k population",309
2020,"Gangwon-do",32,"Chuncheon-si",32010,"mortality","All causes","male","per 100k population",433.5
2020,"Gangwon-do",32,"Chuncheon-si",32010,"mortality","All causes","female","per 100k population",209
2010,"Gangwon-do",32,"Chuncheon-si",32010,"economy","company","total","count",19192
2015,"Gangwon-do",32,"Chuncheon-si",32010,"economy","company","total","count",21256
2020,"Gangwon-do",32,"Chuncheon-si",32010,"economy","company","total","count",32363
2010,"Gangwon-do",32,"Chuncheon-si",32010,"housing","housing types","total","count",80830
2015,"Gangwon-do",32,"Chuncheon-si",32010,"housing","housing types","total","count",86284
2020,"Gangwon-do",32,"Chuncheon-si",32010,"housing","housing types","total","count",103078
2020,"Chungcheongbuk-do",33,"Chungju-si",33020,"tax","income","general","million KRW",103493
2020,"Chungcheongbuk-do",33,"Chungju-si",33020,"tax","income","labor","million KRW",133660
2010,"Chungcheongbuk-do",33,"Chungju-si",33020,"population","all households","total","persons",196039
2010,"Chungcheongbuk-do",33,"Chungju-si",33020,"population","all households","male","persons",97047
2010,"Chungcheongbuk-do",33,"Chungju-si",33020,"population","all households","female","persons",98992
2015,"Chungcheongbuk-do",33,"Chungju-si",33020,"population","all households","total","persons",200375
2015,"Chungcheongbuk-do",33,"Chungju-si",33020,"population","all households","male","persons",100152
2015,"Chungcheongbuk-do",33,"Chungju-si",33020,"population","all households","female","persons",100223
2020,"Chungcheongbuk-do",33,"Chungju-si",33020,"population","all households","total","persons",206519
2020,"Chungcheongbuk-do",33,"Chungju-si",33020,"population","all households","male","persons",104181
2020,"Chungcheongbuk-do",33,"Chungju-si",33020,"population","all households","female","persons",102338
2020,"Chungcheongbuk-do",33,"Chungju-si",33020,"mortality","All causes","total","per 100k population",358.9
2020,"Chungcheongbuk-do",33,"Chungju-si",33020,"mortality","All causes","male","per 100k population",475.4
2020,"Chungcheongbuk-do",33,"Chungju-si",33020,"mortality","All causes","female","per 100k population",252.1
2010,"Chungcheongbuk-do",33,"Chungju-si",33020,"economy","company","total","count",15640
2020,"Chungcheongbuk-do",33,"Chungju-si",33020,"economy","company","total","count",25940
2015,"Chungcheongbuk-do",33,"Chungju-si",33020,"economy","company","total","count",17087
2010,"Chungcheongbuk-do",33,"Chungju-si",33020,"housing","housing types","total","count",67487
2015,"Chungcheongbuk-do",33,"Chungju-si",33020,"housing","housing types","total","count",69793
2020,"Chungcheongbuk-do",33,"Chungju-si",33020,"housing","housing types","total","count",93399
2020,"Daejeon",25,"Daedeok-gu",25050,"tax","income","general","million KRW",62275
2020,"Daejeon",25,"Daedeok-gu",25050,"tax","income","labor","million KRW",260040
2010,"Daejeon",25,"Daedeok-gu",25050,"population","all households","total","persons",199917
2010,"Daejeon",25,"Daedeok-gu",25050,"population","all households","male","persons",99638
2010,"Daejeon",25,"Daedeok-gu",25050,"population","all households","female","persons",100279
2015,"Daejeon",25,"Daedeok-gu",25050,"population","all households","total","persons",192272
2015,"Daejeon",25,"Daedeok-gu",25050,"population","all households","male","persons",96447
2015,"Daejeon",25,"Daedeok-gu",25050,"population","all households","female","persons",95825
2020,"Daejeon",25,"Daedeok-gu",25050,"population","all households","total","persons",172226
2020,"Daejeon",25,"Daedeok-gu",25050,"population","all households","male","persons",86802
2020,"Daejeon",25,"Daedeok-gu",25050,"population","all households","female","persons",85424
2020,"Daejeon",25,"Daedeok-gu",25050,"mortality","All causes","total","per 100k population",331.3
2020,"Daejeon",25,"Daedeok-gu",25050,"mortality","All causes","male","per 100k population",451.7
2020,"Daejeon",25,"Daedeok-gu",25050,"mortality","All causes","female","per 100k population",227.4
2010,"Daejeon",25,"Daedeok-gu",25050,"economy","company","total","count",15831
2020,"Daejeon",25,"Daedeok-gu",25050,"economy","company","total","count",25684
2015,"Daejeon",25,"Daedeok-gu",25050,"economy","company","total","count",17765
2010,"Daejeon",25,"Daedeok-gu",25050,"housing","housing types","total","count",57052
2015,"Daejeon",25,"Daedeok-gu",25050,"housing","housing types","total","count",58548
2020,"Daejeon",25,"Daedeok-gu",25050,"housing","housing types","total","count",63102
2020,"Daegu",22,"Dalseo-gu",22070,"tax","income","general","million KRW",383510
2020,"Daegu",22,"Dalseo-gu",22070,"tax","income","labor","million KRW",317299
2010,"Daegu",22,"Dalseo-gu",22070,"population","all households","total","persons",591182
2010,"Daegu",22,"Dalseo-gu",22070,"population","all households","male","persons",289772
2010,"Daegu",22,"Dalseo-gu",22070,"population","all households","female","persons",301410
2015,"Daegu",22,"Dalseo-gu",22070,"population","all households","total","persons",586799
2015,"Daegu",22,"Dalseo-gu",22070,"population","all households","male","persons",288195
2015,"Daegu",22,"Dalseo-gu",22070,"population","all households","female","persons",298604
2020,"Daegu",22,"Dalseo-gu",22070,"population","all households","total","persons",547460
2020,"Daegu",22,"Dalseo-gu",22070,"population","all households","male","persons",267782
2020,"Daegu",22,"Dalseo-gu",22070,"population","all households","female","persons",279678
2020,"Daegu",22,"Dalseo-gu",22070,"mortality","All causes","total","per 100k population",297.8
2020,"Daegu",22,"Dalseo-gu",22070,"mortality","All causes","male","per 100k population",407
2020,"Daegu",22,"Dalseo-gu",22070,"mortality","All causes","female","per 100k population",211.9
2010,"Daegu",22,"Dalseo-gu",22070,"economy","company","total","count",36701
2015,"Daegu",22,"Dalseo-gu",22070,"economy","company","total","count",40455
2020,"Daegu",22,"Dalseo-gu",22070,"economy","company","total","count",60591
2010,"Daegu",22,"Dalseo-gu",22070,"housing","housing types","total","count",162481
2015,"Daegu",22,"Dalseo-gu",22070,"housing","housing types","total","count",173096
2020,"Daegu",22,"Dalseo-gu",22070,"housing","housing types","total","count",184756
2020,"Daegu",22,"Dalseong-gun",22310,"tax","income","general","million KRW",117848
2020,"Daegu",22,"Dalseong-gun",22310,"tax","income","labor","million KRW",169345
2010,"Daegu",22,"Dalseong-gun",22310,"population","all households","total","persons",162548
2010,"Daegu",22,"Dalseong-gun",22310,"population","all households","male","persons",80614
2010,"Daegu",22,"Dalseong-gun",22310,"population","all households","female","persons",81934
2015,"Daegu",22,"Dalseong-gun",22310,"population","all households","total","persons",179198
2015,"Daegu",22,"Dalseong-gun",22310,"population","all households","male","persons",89920
2015,"Daegu",22,"Dalseong-gun",22310,"population","all households","female","persons",89278
2020,"Daegu",22,"Dalseong-gun",22310,"population","all households","total","persons",250008
2020,"Daegu",22,"Dalseong-gun",22310,"population","all households","male","persons",125893
2020,"Daegu",22,"Dalseong-gun",22310,"population","all households","female","persons",124115
2020,"Daegu",22,"Dalseong-gun",22310,"mortality","All causes","total","per 100k population",313.2
2020,"Daegu",22,"Dalseong-gun",22310,"mortality","All causes","male","per 100k population",419.2
2020,"Daegu",22,"Dalseong-gun",22310,"mortality","All causes","female","per 100k population",232.4
2015,"Daegu",22,"Dalseong-gun",22310,"economy","company","total","count",15337
2010,"Daegu",22,"Dalseong-gun",22310,"economy","company","total","count",12004
2020,"Daegu",22,"Dalseong-gun",22310,"economy","company","total","count",26084
2010,"Daegu",22,"Dalseong-gun",22310,"housing","housing types","total","count",51652
2015,"Daegu",22,"Dalseong-gun",22310,"housing","housing types","total","count",57869
2020,"Daegu",22,"Dalseong-gun",22310,"housing","housing types","total","count",97595
2020,"Jeollanam-do",36,"Damyang-gun",36310,"tax","income","general","million KRW",19404
2020,"Jeollanam-do",36,"Damyang-gun",36310,"tax","income","labor","million KRW",29207
2010,"Jeollanam-do",36,"Damyang-gun",36310,"population","all households","total","persons",38438
2010,"Jeollanam-do",36,"Damyang-gun",36310,"population","all households","male","persons",18208
2010,"Jeollanam-do",36,"Damyang-gun",36310,"population","all households","female","persons",20230
2015,"Jeollanam-do",36,"Damyang-gun",36310,"population","all households","total","persons",40192
2015,"Jeollanam-do",36,"Damyang-gun",36310,"population","all households","male","persons",19463
2015,"Jeollanam-do",36,"Damyang-gun",36310,"population","all households","female","persons",20729
2020,"Jeollanam-do",36,"Damyang-gun",36310,"population","all households","total","persons",40281
2020,"Jeollanam-do",36,"Damyang-gun",36310,"population","all households","male","persons",19830
2020,"Jeollanam-do",36,"Damyang-gun",36310,"population","all households","female","persons",20451
2020,"Jeollanam-do",36,"Damyang-gun",36310,"mortality","All causes","total","per 100k population",309.6
2020,"Jeollanam-do",36,"Damyang-gun",36310,"mortality","All causes","male","per 100k population",410
2020,"Jeollanam-do",36,"Damyang-gun",36310,"mortality","All causes","female","per 100k population",248.2
2020,"Jeollanam-do",36,"Damyang-gun",36310,"economy","company","total","count",6783
2010,"Jeollanam-do",36,"Damyang-gun",36310,"economy","company","total","count",2805
2015,"Jeollanam-do",36,"Damyang-gun",36310,"economy","company","total","count",3731
2010,"Jeollanam-do",36,"Damyang-gun",36310,"housing","housing types","total","count",14841
2015,"Jeollanam-do",36,"Damyang-gun",36310,"housing","housing types","total","count",14826
2020,"Jeollanam-do",36,"Damyang-gun",36310,"housing","housing types","total","count",18485
2010,"Chungcheongnam-do",34,"Dangjin-gun",34390,"population","all households","total","persons",137262
2010,"Chungcheongnam-do",34,"Dangjin-gun",34390,"population","all households","male","persons",73296
2010,"Chungcheongnam-do",34,"Dangjin-gun",34390,"population","all households","female","persons",63966
2010,"Chungcheongnam-do",34,"Dangjin-gun",34390,"economy","company","total","count",8978
2010,"Chungcheongnam-do",34,"Dangjin-gun",34390,"housing","housing types","total","count",46028
2020,"Chungcheongnam-do",34,"Dangjin-si",34080,"tax","income","general","million KRW",81137
2020,"Chungcheongnam-do",34,"Dangjin-si",34080,"tax","income","labor","million KRW",159982
2015,"Chungcheongnam-do",34,"Dangjin-si",34080,"population","all households","total","persons",156378
2015,"Chungcheongnam-do",34,"Dangjin-si",34080,"population","all households","male","persons",81649
2015,"Chungcheongnam-do",34,"Dangjin-si",34080,"population","all households","female","persons",74729
2020,"Chungcheongnam-do",34,"Dangjin-si",34080,"population","all households","total","persons",160757
2020,"Chungcheongnam-do",34,"Dangjin-si",34080,"population","all households","male","persons",84855
2020,"Chungcheongnam-do",34,"Dangjin-si",34080,"population","all households","female","persons",75902
2020,"Chungcheongnam-do",34,"Dangjin-si",34080,"mortality","All causes","total","per 100k population",301.2
2020,"Chungcheongnam-do",34,"Dangjin-si",34080,"mortality","All causes","male","per 100k population",404.5
2020,"Chungcheongnam-do",34,"Dangjin-si",34080,"mortality","All causes","female","per 100k population",206.3
2020,"Chungcheongnam-do",34,"Dangjin-si",34080,"economy","company","total","count",20189
2015,"Chungcheongnam-do",34,"Dangjin-si",34080,"economy","company","total","count",12125
2015,"Chungcheongnam-do",34,"Dangjin-si",34080,"housing","housing types","total","count",51822
2020,"Chungcheongnam-do",34,"Dangjin-si",34080,"housing","housing types","total","count",64504
2010,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"population","all households","total","persons",324199
2010,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"population","all households","male","persons",163961
2010,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"population","all households","female","persons",160238
2015,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"population","all households","total","persons",308416
2015,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"population","all households","male","persons",156258
2015,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"population","all households","female","persons",152158
2020,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"population","all households","total","persons",299633
2020,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"population","all households","male","persons",152248
2020,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"population","all households","female","persons",147385
2020,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"mortality","All causes","total","per 100k population",343.4
2020,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"mortality","All causes","male","per 100k population",456.5
2020,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"mortality","All causes","female","per 100k population",247.2
2020,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"economy","company","total","count",50641
2010,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"economy","company","total","count",27536
2015,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"economy","company","total","count",32722
2010,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"housing","housing types","total","count",80516
2015,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"housing","housing types","total","count",90344
2020,"Gyeonggi-do",31,"Danwon-gu Ansan-si",31092,"housing","housing types","total","count",106172
2020,"Chungcheongbuk-do",33,"Danyang-gun",33380,"tax","income","general","million KRW",7899
2020,"Chungcheongbuk-do",33,"Danyang-gun",33380,"tax","income","labor","million KRW",15145
2010,"Chungcheongbuk-do",33,"Danyang-gun",33380,"population","all households","total","persons",27235
2010,"Chungcheongbuk-do",33,"Danyang-gun",33380,"population","all households","male","persons",13272
2010,"Chungcheongbuk-do",33,"Danyang-gun",33380,"population","all households","female","persons",13963
2015,"Chungcheongbuk-do",33,"Danyang-gun",33380,"population","all households","total","persons",27541
2015,"Chungcheongbuk-do",33,"Danyang-gun",33380,"population","all households","male","persons",13769
2015,"Chungcheongbuk-do",33,"Danyang-gun",33380,"population","all households","female","persons",13772
2020,"Chungcheongbuk-do",33,"Danyang-gun",33380,"population","all households","total","persons",26743
2020,"Chungcheongbuk-do",33,"Danyang-gun",33380,"population","all households","male","persons",13516
2020,"Chungcheongbuk-do",33,"Danyang-gun",33380,"population","all households","female","persons",13227
2020,"Chungcheongbuk-do",33,"Danyang-gun",33380,"mortality","All causes","total","per 100k population",332.7
2020,"Chungcheongbuk-do",33,"Danyang-gun",33380,"mortality","All causes","male","per 100k population",499.5
2020,"Chungcheongbuk-do",33,"Danyang-gun",33380,"mortality","All causes","female","per 100k population",187.7
2020,"Chungcheongbuk-do",33,"Danyang-gun",33380,"economy","company","total","count",4332
2010,"Chungcheongbuk-do",33,"Danyang-gun",33380,"economy","company","total","count",2713
2015,"Chungcheongbuk-do",33,"Danyang-gun",33380,"economy","company","total","count",2969
2010,"Chungcheongbuk-do",33,"Danyang-gun",33380,"housing","housing types","total","count",11011
2015,"Chungcheongbuk-do",33,"Danyang-gun",33380,"housing","housing types","total","count",11152
2020,"Chungcheongbuk-do",33,"Danyang-gun",33380,"housing","housing types","total","count",13898
2010,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"population","all households","total","persons",366705
2010,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"population","all households","male","persons",179276
2010,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"population","all households","female","persons",187429
2015,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"population","all households","total","persons",414910
2015,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"population","all households","male","persons",203335
2015,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"population","all households","female","persons",211575
2020,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"population","all households","total","persons",455856
2020,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"population","all households","male","persons",223548
2020,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"population","all households","female","persons",232308
2020,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"mortality","All causes","total","per 100k population",273.5
2020,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"mortality","All causes","male","per 100k population",380.7
2020,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"mortality","All causes","female","per 100k population",190.2
2015,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"economy","company","total","count",21678
2020,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"economy","company","total","count",39030
2010,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"economy","company","total","count",18437
2010,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"housing","housing types","total","count",105228
2015,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"housing","housing types","total","count",130036
2020,"Gyeonggi-do",31,"Deogyang-gu Goyang-si",31101,"housing","housing types","total","count",158223
2010,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"population","all households","total","persons",278022
2010,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"population","all households","male","persons",136079
2010,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"population","all households","female","persons",141943
2015,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"population","all households","total","persons",280376
2015,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"population","all households","male","persons",138440
2015,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"population","all households","female","persons",141936
2020,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"population","all households","total","persons",312243
2020,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"population","all households","male","persons",155260
2020,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"population","all households","female","persons",156983
2020,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"mortality","All causes","total","per 100k population",273.3
2020,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"mortality","All causes","male","per 100k population",367.8
2020,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"mortality","All causes","female","per 100k population",194.8
2010,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"economy","company","total","count",17695
2020,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"economy","company","total","count",34547
2015,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"economy","company","total","count",22527
2010,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"housing","housing types","total","count",81072
2015,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"housing","housing types","total","count",86201
2020,"Jeollabuk-do",35,"Deokjin-gu Jeonju-si",35012,"housing","housing types","total","count",115577
2020,"Seoul",11,"Dobong-gu",11100,"tax","income","general","million KRW",144951
2020,"Seoul",11,"Dobong-gu",11100,"tax","income","labor","million KRW",60799
2010,"Seoul",11,"Dobong-gu",11100,"population","all households","total","persons",343881
2010,"Seoul",11,"Dobong-gu",11100,"population","all households","male","persons",166299
2010,"Seoul",11,"Dobong-gu",11100,"population","all households","female","persons",177582
2015,"Seoul",11,"Dobong-gu",11100,"population","all households","total","persons",333873
2015,"Seoul",11,"Dobong-gu",11100,"population","all households","male","persons",161800
2015,"Seoul",11,"Dobong-gu",11100,"population","all households","female","persons",172073
2020,"Seoul",11,"Dobong-gu",11100,"population","all households","total","persons",312878
2020,"Seoul",11,"Dobong-gu",11100,"population","all households","male","persons",150940
2020,"Seoul",11,"Dobong-gu",11100,"population","all households","female","persons",161938
2020,"Seoul",11,"Dobong-gu",11100,"mortality","All causes","total","per 100k population",270
2020,"Seoul",11,"Dobong-gu",11100,"mortality","All causes","male","per 100k population",359.5
2020,"Seoul",11,"Dobong-gu",11100,"mortality","All causes","female","per 100k population",195.7
2020,"Seoul",11,"Dobong-gu",11100,"economy","company","total","count",25607
2015,"Seoul",11,"Dobong-gu",11100,"economy","company","total","count",18455
2010,"Seoul",11,"Dobong-gu",11100,"economy","company","total","count",17498
2010,"Seoul",11,"Dobong-gu",11100,"housing","housing types","total","count",95061
2015,"Seoul",11,"Dobong-gu",11100,"housing","housing types","total","count",100589
2020,"Seoul",11,"Dobong-gu",11100,"housing","housing types","total","count",107156
2020,"Busan",21,"Dong-gu",21030,"tax","income","general","million KRW",39323
2020,"Busan",21,"Dong-gu",21030,"tax","income","labor","million KRW",89706
2010,"Busan",21,"Dong-gu",21030,"population","all households","total","persons",92262
2010,"Busan",21,"Dong-gu",21030,"population","all households","male","persons",44469
2010,"Busan",21,"Dong-gu",21030,"population","all households","female","persons",47793
2015,"Busan",21,"Dong-gu",21030,"population","all households","total","persons",86853
2015,"Busan",21,"Dong-gu",21030,"population","all households","male","persons",42187
